,A1,A2,E1,E2
214,1.0140979036518891,1.2041216463473912,-2.032024681860405,-5.002946688459182
215,1.0190727358800307,1.21532219272545,-2.045113970094074,-5.0927795213730525
216,1.0211458139712792,1.2202173756054904,-2.0507023098050374,-5.131964300226449
217,1.0272983832308322,1.2356810042609032,-2.0678139189088145,-5.255480931517776
218,1.0313810690023681,1.2468691849065812,-2.0796712347604367,-5.344628173994605
219,1.0330651109613807,1.2517459375666045,-2.08469921277494,-5.383436824611997
220,1.0379929468501239,1.2671021437856493,-2.0999617709520657,-5.505475720939654
221,1.0411940387123404,1.2781682694822851,-2.1104134437499007,-5.593292320665542
222,1.0424951315837594,1.2829807158257946,-2.114812604747286,-5.631455316133359
223,1.0462228755867997,1.2980922934168813,-2.1280373401925883,-5.751211399173826
224,1.0485649460951016,1.3089439718354026,-2.1369709878612415,-5.837156206828587
225,1.0494940816410245,1.3136535428681788,-2.14069825738749,-5.874447909107199
226,1.0520605798362845,1.3284054279694775,-2.1517713720435685,-5.991249074498424
227,1.0535753409983646,1.3389654516731597,-2.1591242599564175,-6.074872113335428
228,1.0541472161192007,1.3435399912330865,-2.162157077059264,-6.111105383017847
229,1.055601949735402,1.357836544402119,-2.1710251879129556,-6.224396118574532
230,1.056327864942284,1.3680410193636803,-2.176774418155061,-6.30532730482273
231,1.0565598884659395,1.372453991756668,-2.1791066364287475,-6.340348725609484
232,1.0569600234425485,1.386216590041354,-2.185764527059146,-6.449675599391551
233,1.0569403381422982,1.3960132778532042,-2.189918795542215,-6.527614751670344
234,1.0568518129883377,1.4002430660294336,-2.1915572421178635,-6.5613004009883955
235,1.0562597752177463,1.4134079704397475,-2.1960375914539703,-6.666299210583536
236,1.055540902875224,1.4227548203690203,-2.198630286007801,-6.741007204453183
237,1.05515235693127,1.4267841045334537,-2.199591883057992,-6.773258909245057
238,1.0536338529330718,1.4393005721643113,-2.20195668370645,-6.873643306750303
239,1.0522640617307901,1.448164421849358,-2.2030401272715214,-6.944934246464163
240,1.0515967045307415,1.4519796295203302,-2.2033494936569804,-6.975676269932551
241,1.0492191186271818,1.463808242985493,-2.2036829115940404,-7.071227697682689
242,1.0472474720824672,1.4721636689191124,-2.2033235815614813,-7.138961991393961
243,1.0463227576245073,1.4757544884452254,-2.2030110435860597,-7.168138102497509
244,1.0431538664841753,1.486865678312924,-2.2014135052388206,-7.258696892879554
245,1.0406293778360989,1.494693979349706,-2.1996880833460537,-7.322775130167388
246,1.0394686566883249,1.4980529297812233,-2.19878803342403,-7.350346013009762
247,1.035575610580307,1.5084256683985902,-2.1953713558629095,-7.4358035219688965
248,1.032546576571765,1.5157139673822269,-2.1923634833136947,-7.496161063768303
249,1.0311708228431251,1.5188360183812752,-2.1909130338850953,-7.522102028776936
250,1.0266193502651741,1.528456665872152,-2.185796439593948,-7.602393687087114
251,1.0231328349381428,1.535197116133179,-2.1815940696359233,-7.658995888084442
252,1.0215624357897408,1.5380793523078082,-2.179631957057879,-7.683294851104156
253,1.0164162344592014,1.5469406376613706,-2.1729388370551397,-7.758394030342651
254,1.0125176778821916,1.553129722605635,-2.167632092455601,-7.811232022772433
255,1.0107722750636832,1.5557710472723816,-2.165197791999267,-7.833887721950187
256,1.005092557716952,1.563871169346788,-2.157053100396667,-7.903800323585059
257,1.0008254882710286,1.5695090846391306,-2.1507325564179,-7.952887299193778
258,0.9989238627369108,1.5719099586016376,-2.1478655750468802,-7.973907722940648
259,0.9927690308600677,1.5792517934784143,-2.1383937548219625,-8.038667408943867
260,0.9881748629658084,1.5843419026670205,-2.131149079723702,-8.084035343312888
261,0.9861348549391245,1.5865041139973124,-2.127888398098824,-8.103436345412785
262,0.9795602776777882,1.593094516856557,-2.1172117523506517,-8.163100338338714
263,0.9746781794102812,1.5976428717559308,-2.109130647161565,-8.20479710685608
264,0.9725166374778367,1.5995693331786738,-2.105514286492487,-8.22260118774389
265,0.9655745163155361,1.6054185237889267,-2.0937517218419393,-8.277246575560094
266,0.9604413340618948,1.609433442861063,-2.084919109839311,-8.315333417609702
267,0.9581740878072521,1.6111280135276695,-2.0809838027357004,-8.33156865290076
268,0.9509133907452997,1.616249036070043,-2.068249882370756,-8.381289141578913
269,0.9455636197052261,1.6197407337627912,-2.0587473058388044,-8.415838432986074
270,0.9432054712930733,1.6212080626990852,-2.0545282534210236,-8.430537532592423
271,0.9356719227233831,1.625616311407208,-2.04093250652896,-8.475440595630975
272,0.9301377140697751,1.6285965728932206,-2.0308376947908022,-8.506533894414849
273,0.9277024449004075,1.6298419616435849,-2.0263683949634017,-8.519733377398197
274,0.9199385596056678,1.6335547647970412,-2.012014837292649,-8.55993775708761
275,0.9142497564921119,1.6360366608842003,-2.0014014154140036,-8.587664091428822
276,0.9117501456776098,1.6370659431679926,-1.9967135494920383,-8.599403563400159
277,0.9037952972621593,1.6401021987840438,-1.9817003766625405,-8.635037083708738
278,0.8979794931696345,1.6420998364218975,-1.9706376889040613,-8.659491454466162
279,0.8954273451170198,1.6429192728587112,-1.9657610557453309,-8.669812975809487
280,0.8873178607792024,1.645299130173439,-1.9501804768354516,-8.701010631244817
281,0.881400474778487,1.6468274344786862,-1.9387335029434862,-8.72229270443274
282,0.8788066536214378,1.6474436206565066,-1.933695991426084,-8.731240238941712
283,0.8705759285471415,1.6491882021445645,-1.9176341754350148,-8.758142527714206
284,0.8645802929809527,1.6502627263275245,-1.9058635213061634,-8.7763554951154
285,0.8619547619901424,1.65068251268051,-1.9006911134364595,-8.78397442979349
286,0.8536333878125874,1.6518136719492982,-1.884228225568168,-8.806725903149633
287,0.8475808446897498,1.6524504319271833,-1.8721901727726693,-8.821975491671852
288,0.8449327091220448,1.6526808540607987,-1.8669069709468822,-8.82831221948036
289,0.8365486118828678,1.6532209654774142,-1.8501172793827187,-8.847060222221657
290,0.830458614945864,1.6534362963175977,-1.8378638805552374,-8.859453834775026
